Trait,Severity,GGA,Necrosis,a,u,Chlorosis,b,v,CSI,SHW,SP,PY,Biomass,HI,GY
Severity,1,-0.423687679,0.56158263,-0.0771072,0.234841903,0.916870042,-0.387107283,-0.293814679,-0.186209693,-0.420463924,-0.688354729,-0.841206359,0.002820651,-0.774974899,-0.915936432
GGA,-0.423687679,1,-0.733357707,-0.744237174,-0.785084826,-0.460023925,0.376509375,0.420388996,-0.033148715,-0.149993344,0.534437863,0.135098299,0.53144042,0.054515259,0.268935051
Necrosis,0.56158263,-0.733357707,1,0.310688603,0.381513256,0.377758279,-0.332812297,-0.253560213,0.261808726,-0.004081142,-0.640820405,-0.352079269,-0.449439683,-0.481187572,-0.479639771
a,-0.0771072,-0.744237174,0.310688603,1,0.775773758,0.01761818,-0.426179746,-0.450138362,-0.220034049,0.414247162,-0.145120667,0.275046348,-0.336369991,0.359474552,0.144459393
u,0.234841903,-0.785084826,0.381513256,0.775773758,1,0.398625261,-0.599412992,-0.500367931,-0.474634874,0.228659273,-0.331674545,0.056676787,-0.381940173,0.197628951,-0.050495077
Chlorosis,0.916870042,-0.460023925,0.377758279,0.01761818,0.398625261,1,-0.418060705,-0.371752442,-0.327320652,-0.279472143,-0.689090992,-0.663572914,-0.044000775,-0.564111738,-0.75176281
b,-0.387107283,0.376509375,-0.332812297,-0.426179746,-0.599412992,-0.418060705,1,0.62083234,0.722486229,0.207785869,0.318830316,0.363430116,0.013877517,0.045535703,0.381079879
v,-0.293814679,0.420388996,-0.253560213,-0.450138362,-0.500367931,-0.371752442,0.62083234,1,0.511436352,0.230045203,-0.005305491,0.14175915,-0.231579004,-0.026869157,0.065189281
CSI,-0.186209693,-0.033148715,0.261808726,-0.220034049,-0.474634874,-0.327320652,0.722486229,0.511436352,1,0.243149553,-0.108852748,0.204646565,-0.335223002,-0.149899915,0.143929626
SHW,-0.420463924,-0.149993344,-0.004081142,0.414247162,0.228659273,-0.279472143,0.207785869,0.230045203,0.243149553,1,-0.249144866,0.774336862,-0.492297932,0.233651738,0.499801987
SP,-0.688354729,0.534437863,-0.640820405,-0.145120667,-0.331674545,-0.689090992,0.318830316,-0.005305491,-0.108852748,-0.249144866,1,0.357980041,0.489855365,0.60237748,0.629550989
PY,-0.841206359,0.135098299,-0.352079269,0.275046348,0.056676787,-0.663572914,0.363430116,0.14175915,0.204646565,0.774336862,0.357980041,1,-0.244840585,0.66614883,0.935085433
Biomass,0.002820651,0.53144042,-0.449439683,-0.336369991,-0.381940173,-0.044000775,0.013877517,-0.231579004,-0.335223002,-0.492297932,0.489855365,-0.244840585,1,-0.199549842,-0.059396819
HI,-0.774974899,0.054515259,-0.481187572,0.359474552,0.197628951,-0.564111738,0.045535703,-0.026869157,-0.149899915,0.233651738,0.60237748,0.66614883,-0.199549842,1,0.780953155
GY,-0.915936432,0.268935051,-0.479639771,0.144459393,-0.050495077,-0.75176281,0.381079879,0.065189281,0.143929626,0.499801987,0.629550989,0.935085433,-0.059396819,0.780953155,1
