Genotype, SHW, SP, PY, Biomass, HI, GY
Bobwhite,110.0555556,30.17645277,168.2222222,163.6111111,0.19073852,58.16666667
Chigunwe,36.05555556,68.80649721,120.3888889,525.3703704,0.173921771,84.33333333
Chizambia,80.72222222,50.78038873,161.9444444,474.6851852,0.169431947,81.22222222
Guineafowl,43.33333333,46.78264619,107.6111111,417,0.126320161,64.27777778
Kabhutsu,57.66666667,30.11072618,90,295.1481481,0.130496505,32.33333333
Kasawaya,128.6111111,55.42706121,328.2222222,293.9814815,0.541260796,199.6111111
Makulu_red,91.88888889,43.69560887,219.9444444,300.7407407,0.458420261,128.0555556
Munzungu_munemari,64.58823529,58.76137841,171.5294118,387.4117647,0.57261967,106.9411765
Murambatsvina,65.5,62.51206368,191.6111111,276.5925926,0.74952425,126.1111111
Muromo_wehoto,84.77777778,34.01826602,137.4444444,431.5555556,0.195618574,52.66666667
Natal_common,96,60.67333756,237,456.2592593,0.507791742,141
Tumbe,71.66666667,64.08642779,212.4444444,377.9351852,0.748566417,140.7777778
Grand Total,77.63255814,50.44741398,178.8976744,366.5945736,0.379498472,101.2651163
