Genotype, Severity, GGA, Necrosis, a, u, Chlorosis, b, v, CSI, SHW, SP, PY, Biomass, HI, GY
Bobwhite,37.55722222,0.242777778,70.68725,-7.449444444,1.224444444,11.33505556,28.88777778,40.52222222,47.28888889,110.0555556,30.17645277,168.2222222,163.6111111,0.19073852,58.16666667
Chigunwe,34.66111111,0.522777778,42.18663333,-13.11444444,-5.54,9.572244444,31.69111111,37.73444444,34.90666667,36.05555556,68.80649721,120.3888889,525.3703704,0.173921771,84.33333333
Chizambia,34.05277778,0.388888889,57.30158889,-7.725555556,0.451666667,8.175572222,22.09777778,27.79388889,23.76166667,80.72222222,50.78038873,161.9444444,474.6851852,0.169431947,81.22222222
Guinea_fowl,39.68611111,0.271111111,70.68804444,-9.252222222,-2.682222222,13.38352778,27.92055556,30.36777778,50.71333333,43.33333333,46.78264619,107.6111111,417,0.126320161,64.27777778
Kabhutsu,56.96444444,0.144444444,75.52587222,-7.270555556,9.437222222,41.40487222,21.36777778,25.12444444,22.79444444,57.66666667,30.11072618,90,295.1481481,0.130496505,32.33333333
Kasawaya,19.59111111,0.336111111,52.59206667,-8.105555556,0.735555556,2.338211111,31.58833333,31.02611111,44.735,128.6111111,55.42706121,328.2222222,293.9814815,0.541260796,199.6111111
Makulu_red,23.59222222,0.418888889,51.31733333,-10.44277778,0.263333333,5.020405556,25.64777778,37.98888889,35.52611111,91.88888889,43.69560887,219.9444444,300.7407407,0.458420261,128.0555556
Munzungu_munemari,29.04555556,0.340555556,49.86338889,-7.271666667,2.179444444,7.618594444,25.21944444,30.43,27.50722222,64.58823529,58.76137841,171.5294118,387.4117647,0.57261967,106.9411765
Murambatsvina,25.24333333,0.286666667,47.04745,-7.161111111,2.952222222,6.994727778,26.57944444,32.15833333,32.87333333,65.5,62.51206368,191.6111111,276.5925926,0.74952425,126.1111111
Muromo_wehoto,44.26,0.340555556,44.41327778,-8.743888889,0.637777778,33.57621111,26.77611111,32.56111111,29.49944444,84.77777778,34.01826602,137.4444444,431.5555556,0.195618574,52.66666667
Natal_common,23.17777778,0.261666667,52.57988333,-5.638888889,5.656111111,3.437872222,27.55611111,32.70222222,32.22444444,96,60.67333756,237,456.2592593,0.507791742,141
Tumbe,23.92388889,0.343333333,52.02521667,-7.645,1.556111111,6.034877778,24.98166667,30.40388889,27.41611111,71.66666667,64.08642779,212.4444444,377.9351852,0.748566417,140.7777778
